sourcetype,vendor,product,ids_type
sep11:admin,Symantec,Endpoint Protection,
sep11:agent,Symantec,Endpoint Protection,
sep11:agt_system,Symantec,Endpoint Protection,
sep11:behavior,Symantec,Endpoint Protection,host
sep11:ids,Symantec,Endpoint Protection,host
sep11:policy,Symantec,Endpoint Protection,
sep11:proactive,Symantec,Endpoint Protection,
sep11:risk,Symantec,Endpoint Protection,
sep11:scan,Symantec,Endpoint Protection,
sep11:scm_system,Symantec,Endpoint Protection,
sep11:traffic,Symantec,Endpoint Protection,
